repository,language,architecture,community,continuous_integration,documentation,history,issues,license,size,unit_test,stars,scorebased_org,randomforest_org,scorebased_utl,randomforest_utl
zenden2k/image-uploader,C++,0.723457,3,0,0.129742,3.196429,1.000000,1,81831,0.013784,17,1,1,1,1
collapsedev/circlecash,C++,0.964286,8,0,0.038642,50.196972,0.000000,1,206747,0.080306,0,1,1,1,1
RichardLuo/rowboat-frameworks-native,C++,0.866337,55,0,0.332960,204.652176,0.000000,1,25857,0.150059,0,1,1,1,1
ssig/ssf,C++,0.881356,1,1,0.277340,87.000000,12.000000,1,20466,0.199293,11,1,1,1,1
pjrinaldi/wombatforensics,C++,0.974359,1,0,0.127332,81.300003,2.350000,1,16827,0.045710,1,1,1,1,1
Split-Screen/android_device_semc_msm7x30-common,C++,0.625000,2,0,0.162381,16.568182,0.000000,1,6169,0.834387,0,1,1,1,1
BinChengfei/vlc-android,C++,0.808682,10,0,0.398213,22.554455,0.000000,1,161710,0.010804,0,1,1,1,1
ctrlaltdavid/hifi-cas,C++,0.973872,6,0,0.131165,503.774200,0.000000,1,166411,0.032721,0,1,1,1,1
webyog/sqlyog-community,C++,0.917647,4,0,0.225851,4.500000,0.650000,1,180462,0.096328,167,1,1,1,1
harshj/subsurface,C++,0.914634,8,0,0.020943,167.119049,0.000000,1,303702,0.008163,0,1,1,1,0
anagromataf/WebRTC,C++,0.937173,30,0,0.168180,176.311111,0.000000,1,652862,0.148095,0,1,1,1,1
Metaswitch/astaire,C++,1.000000,2,0,0.235944,34.000000,1.500000,1,2361,0.000000,0,1,1,1,1
BurntRouter/PotatoCoin,C++,0.968553,9,0,0.029886,32.621212,0.000000,1,128366,0.066394,0,1,1,1,1
meego-tablet-ux/meego-app-browser,C++,0.940916,165,0,0.173710,1779.222168,0.000000,1,4297249,0.021061,0,1,1,1,0
lazydroid/vlc-android,C++,0.808682,10,0,0.402035,22.754902,0.000000,1,159967,0.010803,0,1,1,1,1
qaisjp/mtasa-blue,C++,0.909539,10,0,0.243764,41.724640,0.014493,1,1426557,0.114273,0,1,1,1,1
dansgithubuser/lldb,C++,0.966667,10,0,0.127410,188.192978,0.000000,1,759992,0.031845,0,1,1,1,1
ligzy/npapi-vlc,C++,0.922078,7,0,0.155565,7.380165,0.000000,1,25089,0.062448,0,1,1,1,1
ZMoD-R/android_frameworks_av,C++,0.862565,22,0,0.288117,77.933334,0.000000,1,420367,0.036575,1,1,1,1,1
